(.venv) ➜  hebbian_image_encoder git:(main) ✗ python pokemon_hebbian_deep_encode.py                                                                                                                                                                             <aws:kenny> <region:us-west-2>
[LOG] Step 0: energy=0.0010, delta=0.000008, norm=0.0010
[LOG] Step 1: energy=0.0010, delta=0.000008, norm=0.0020
[LOG] Step 2: energy=0.0010, delta=0.000008, norm=0.0030
[LOG] Step 3: energy=0.0010, delta=0.000008, norm=0.0040
[LOG] Step 0: energy=0.0011, delta=0.000008, norm=0.0050
[LOG] Step 1: energy=0.0010, delta=0.000008, norm=0.0060
[LOG] Step 2: energy=0.0011, delta=0.000008, norm=0.0070
[LOG] Step 3: energy=0.0011, delta=0.000008, norm=0.0080
[LOG] Step 0: energy=0.0011, delta=0.000008, norm=0.0090
[LOG] Step 1: energy=0.0011, delta=0.000008, norm=0.0101
[LOG] Step 2: energy=0.0011, delta=0.000008, norm=0.0111
[LOG] Step 3: energy=0.0011, delta=0.000008, norm=0.0121
[LOG] Step 0: energy=0.0011, delta=0.000008, norm=0.0132
[LOG] Step 1: energy=0.0011, delta=0.000008, norm=0.0142
[LOG] Step 2: energy=0.0011, delta=0.000008, norm=0.0153
[LOG] Step 3: energy=0.0011, delta=0.000008, norm=0.0163
[LOG] Step 0: energy=0.0012, delta=0.000008, norm=0.0174
[LOG] Step 1: energy=0.0011, delta=0.000008, norm=0.0185
[LOG] Step 2: energy=0.0012, delta=0.000008, norm=0.0196
[LOG] Step 3: energy=0.0012, delta=0.000008, norm=0.0207
[LOG] Step 0: energy=0.0012, delta=0.000009, norm=0.0218
[LOG] Step 1: energy=0.0012, delta=0.000008, norm=0.0229
[LOG] Step 2: energy=0.0012, delta=0.000009, norm=0.0241
[LOG] Step 3: energy=0.0012, delta=0.000009, norm=0.0252
[LOG] Step 0: energy=0.0013, delta=0.000009, norm=0.0264
[LOG] Step 1: energy=0.0012, delta=0.000009, norm=0.0275
[LOG] Step 2: energy=0.0013, delta=0.000009, norm=0.0287
[LOG] Step 3: energy=0.0013, delta=0.000009, norm=0.0299
[LOG] Step 0: energy=0.0014, delta=0.000010, norm=0.0311
[LOG] Step 1: energy=0.0013, delta=0.000009, norm=0.0323
[LOG] Step 2: energy=0.0013, delta=0.000009, norm=0.0335
[LOG] Step 3: energy=0.0014, delta=0.000009, norm=0.0348
[LOG] Step 0: energy=0.0015, delta=0.000010, norm=0.0361
[LOG] Step 1: energy=0.0014, delta=0.000010, norm=0.0374
[LOG] Step 2: energy=0.0014, delta=0.000010, norm=0.0387
[LOG] Step 3: energy=0.0015, delta=0.000010, norm=0.0400
[LOG] Step 0: energy=0.0016, delta=0.000011, norm=0.0414
[LOG] Step 1: energy=0.0015, delta=0.000010, norm=0.0427
[LOG] Step 2: energy=0.0015, delta=0.000010, norm=0.0441
[LOG] Step 3: energy=0.0016, delta=0.000011, norm=0.0455
[LOG] Step 0: energy=0.0017, delta=0.000011, norm=0.0470
[LOG] Step 1: energy=0.0016, delta=0.000011, norm=0.0485
[LOG] Step 2: energy=0.0017, delta=0.000011, norm=0.0500
[LOG] Step 3: energy=0.0018, delta=0.000011, norm=0.0515
[LOG] Step 0: energy=0.0019, delta=0.000012, norm=0.0531
[LOG] Step 1: energy=0.0018, delta=0.000011, norm=0.0547
[LOG] Step 2: energy=0.0019, delta=0.000012, norm=0.0563
[LOG] Step 3: energy=0.0019, delta=0.000012, norm=0.0580
[LOG] Step 0: energy=0.0022, delta=0.000013, norm=0.0598
[LOG] Step 1: energy=0.0020, delta=0.000012, norm=0.0615
[LOG] Step 2: energy=0.0021, delta=0.000013, norm=0.0633
[LOG] Step 3: energy=0.0022, delta=0.000013, norm=0.0651
[LOG] Step 0: energy=0.0024, delta=0.000015, norm=0.0672
[LOG] Step 1: energy=0.0022, delta=0.000014, norm=0.0691
[LOG] Step 2: energy=0.0023, delta=0.000014, norm=0.0711
[LOG] Step 3: energy=0.0025, delta=0.000015, norm=0.0731
[LOG] Step 0: energy=0.0028, delta=0.000016, norm=0.0755
[LOG] Step 1: energy=0.0026, delta=0.000015, norm=0.0776
[LOG] Step 2: energy=0.0026, delta=0.000016, norm=0.0798
[LOG] Step 3: energy=0.0029, delta=0.000016, norm=0.0822
[LOG] Step 0: energy=0.0032, delta=0.000019, norm=0.0849
[LOG] Step 1: energy=0.0030, delta=0.000017, norm=0.0873
[LOG] Step 2: energy=0.0031, delta=0.000018, norm=0.0899
[LOG] Step 3: energy=0.0033, delta=0.000019, norm=0.0926
[LOG] Step 0: energy=0.0038, delta=0.000021, norm=0.0957
[LOG] Step 1: energy=0.0035, delta=0.000019, norm=0.0986
[LOG] Step 2: energy=0.0036, delta=0.000020, norm=0.1016
[LOG] Step 3: energy=0.0040, delta=0.000021, norm=0.1048
[LOG] Step 0: energy=0.0046, delta=0.000025, norm=0.1085
