(.venv) ➜  hebbian_image_encoder python hebbian_encode.py
[LOG] Step 0: energy=522.4474, delta=0.000157, norm=648.4505
[LOG] Step 1: energy=1360.8760, delta=0.000409, norm=650.0274
[LOG] Step 2: energy=1215.7363, delta=0.000363, norm=651.4529
[LOG] Step 3: energy=1157.5845, delta=0.000342, norm=652.8118
[LOG] Step 4: energy=785.9888, delta=0.000230, norm=653.7164
[LOG] Step 5: energy=1589.8091, delta=0.000469, norm=655.5132
[LOG] Step 6: energy=1345.2710, delta=0.000396, norm=656.9888
[LOG] Step 7: energy=1114.6088, delta=0.000327, norm=658.2360
[LOG] Step 8: energy=1134.6306, delta=0.000327, norm=659.4904
[LOG] Step 9: energy=879.7765, delta=0.000255, norm=660.4617
[LOG] Step 10: energy=692.3782, delta=0.000201, norm=661.2112
[LOG] Step 11: energy=1551.5034, delta=0.000437, norm=662.9446
[LOG] Step 12: energy=1323.9653, delta=0.000383, norm=664.3592
[LOG] Step 13: energy=1553.8796, delta=0.000443, norm=666.0427
[LOG] Step 14: energy=1037.2621, delta=0.000293, norm=667.1551
[LOG] Step 15: energy=1188.6034, delta=0.000334, norm=668.4385
[LOG] Step 16: energy=1368.8864, delta=0.000382, norm=669.9208
[LOG] Step 17: energy=1927.5426, delta=0.000536, norm=671.9813
[LOG] Step 18: energy=1524.2441, delta=0.000416, norm=673.6377
[LOG] Step 19: energy=1002.8856, delta=0.000279, norm=674.6969
[LOG] Step 20: energy=1066.2897, delta=0.000294, norm=675.8333
[LOG] Step 21: energy=1295.0450, delta=0.000355, norm=677.2147
[LOG] Step 22: energy=1280.3066, delta=0.000349, norm=678.5829
[LOG] Step 23: energy=1214.5027, delta=0.000332, norm=679.8571
[LOG] Step 24: energy=714.8648, delta=0.000195, norm=680.6252
[LOG] Step 25: energy=1570.7701, delta=0.000422, norm=682.3011
[LOG] Step 26: energy=880.3430, delta=0.000239, norm=683.2360
[LOG] Step 27: energy=1125.6609, delta=0.000302, norm=684.4352
[LOG] Step 28: energy=1058.5466, delta=0.000284, norm=685.5605
[LOG] Step 29: energy=1162.0417, delta=0.000310, norm=686.8094
[LOG] Step 30: energy=1172.9932, delta=0.000313, norm=688.0676
[LOG] Step 31: energy=968.4276, delta=0.000253, norm=689.1298
[LOG] Step 32: energy=946.8721, delta=0.000250, norm=690.1603
[LOG] Step 33: energy=1177.8120, delta=0.000307, norm=691.4492
[LOG] Step 34: energy=1102.7526, delta=0.000286, norm=692.6778
[LOG] Step 35: energy=1262.6040, delta=0.000329, norm=694.0696
[LOG] Step 36: energy=1002.0615, delta=0.000261, norm=695.1688
[LOG] Step 37: energy=1125.2341, delta=0.000293, norm=696.3897
[LOG] Step 38: energy=665.7238, delta=0.000173, norm=697.1302
[LOG] Step 39: energy=1031.3350, delta=0.000268, norm=698.2520
