(.venv) ➜  hebbian_image_encoder python hebbian_deep_encode.py                                                                                                                                   <aws:kenny> <region:us-west-2>
[LOG] Step 0: energy=12544018432.0000, delta=23751.574219, norm=512.0000
[LOG] Step 1: energy=26714910720.0000, delta=50583.617188, norm=512.0000
[LOG] Step 2: energy=18997760000.0000, delta=35971.457031, norm=512.0000
[LOG] Step 3: energy=15564442624.0000, delta=29470.589844, norm=512.0000
[LOG] Step 4: energy=14793269248.0000, delta=28010.427734, norm=512.0000
[LOG] Step 5: energy=27423490048.0000, delta=51925.257812, norm=512.0000
[LOG] Step 6: energy=23385643008.0000, delta=44279.757812, norm=512.0000
[LOG] Step 7: energy=20306360320.0000, delta=38449.257812, norm=512.0000
[LOG] Step 8: energy=20580651008.0000, delta=38968.609375, norm=512.0000
[LOG] Step 9: energy=18154516480.0000, delta=34374.816406, norm=512.0000
[LOG] Step 10: energy=16290283520.0000, delta=30844.984375, norm=512.0000
[LOG] Step 11: energy=24046381056.0000, delta=45530.820312, norm=512.0000
[LOG] Step 12: energy=19387228160.0000, delta=36708.882812, norm=512.0000
[LOG] Step 13: energy=24292132864.0000, delta=45996.132812, norm=512.0000
[LOG] Step 14: energy=19891793920.0000, delta=37664.289062, norm=512.0000
[LOG] Step 15: energy=21279072256.0000, delta=40291.039062, norm=512.0000
[LOG] Step 16: energy=23960184832.0000, delta=45367.625000, norm=512.0000
[LOG] Step 17: energy=31061565440.0000, delta=58813.812500, norm=512.0000
[LOG] Step 18: energy=25453678592.0000, delta=48195.484375, norm=512.0000
[LOG] Step 19: energy=21184362496.0000, delta=40111.730469, norm=512.0000
[LOG] Step 20: energy=21344266240.0000, delta=40414.488281, norm=512.0000
[LOG] Step 21: energy=21221388288.0000, delta=40181.804688, norm=512.0000
[LOG] Step 22: energy=23157929984.0000, delta=43848.585938, norm=512.0000
[LOG] Step 23: energy=24922601472.0000, delta=47189.937500, norm=512.0000
[LOG] Step 24: energy=16802296832.0000, delta=31814.458984, norm=512.0000
[LOG] Step 25: energy=27480520704.0000, delta=52033.246094, norm=512.0000
[LOG] Step 26: energy=18961416192.0000, delta=35902.656250, norm=512.0000
[LOG] Step 27: energy=21422120960.0000, delta=40561.898438, norm=512.0000
[LOG] Step 28: energy=19923288064.0000, delta=37723.917969, norm=512.0000
[LOG] Step 29: energy=19204608000.0000, delta=36363.109375, norm=512.0000
