(.venv) ➜  v2 git:(main) ✗ python hebbian_deep_encode.py                                                                                                                                                  <aws:kenny> <region:us-west-2>
[LOG] Step 0: energy=305614356480.0000, delta=8456055.000000, norm=181.0193
[LOG] Step 1: energy=683292360704.0000, delta=18905928.000000, norm=181.0193
[LOG] Step 2: energy=590433484800.0000, delta=16336551.000000, norm=181.0193
[LOG] Step 3: energy=545375125504.0000, delta=15089777.000000, norm=181.0193
[LOG] Step 4: energy=431982575616.0000, delta=11952446.000000, norm=181.0193
[LOG] Step 5: energy=787689177088.0000, delta=21794464.000000, norm=181.0193
[LOG] Step 6: energy=663011983360.0000, delta=18344780.000000, norm=181.0193
[LOG] Step 7: energy=574398660608.0000, delta=15892956.000000, norm=181.0193
[LOG] Step 8: energy=598246424576.0000, delta=16552746.000000, norm=181.0193
[LOG] Step 9: energy=493508820992.0000, delta=13654891.000000, norm=181.0193
[LOG] Step 10: energy=388706893824.0000, delta=10755146.000000, norm=181.0193
[LOG] Step 11: energy=754165088256.0000, delta=20866832.000000, norm=181.0193
[LOG] Step 12: energy=625647943680.0000, delta=17310938.000000, norm=181.0193
[LOG] Step 13: energy=746817978368.0000, delta=20663556.000000, norm=181.0193
[LOG] Step 14: energy=562750291968.0000, delta=15570653.000000, norm=181.0193
[LOG] Step 15: energy=617375596544.0000, delta=17082050.000000, norm=181.0193
[LOG] Step 16: energy=704968720384.0000, delta=19505634.000000, norm=181.0193
[LOG] Step 17: energy=919638704128.0000, delta=25445324.000000, norm=181.0193
[LOG] Step 18: energy=749027721216.0000, delta=20724708.000000, norm=181.0193
[LOG] Step 19: energy=533034762240.0000, delta=14748577.000000, norm=181.0193
[LOG] Step 20: energy=572651012096.0000, delta=15844626.000000, norm=181.0193
[LOG] Step 21: energy=653253345280.0000, delta=18074736.000000, norm=181.0193
[LOG] Step 22: energy=665855328256.0000, delta=18423440.000000, norm=181.0193
[LOG] Step 23: energy=610805219328.0000, delta=16900354.000000, norm=181.0193
[LOG] Step 24: energy=402941411328.0000, delta=11149021.000000, norm=181.0193
[LOG] Step 25: energy=784358047744.0000, delta=21702280.000000, norm=181.0193
[LOG] Step 26: energy=494848344064.0000, delta=13691935.000000, norm=181.0193
[LOG] Step 27: energy=610877177856.0000, delta=16902284.000000, norm=181.0193
[LOG] Step 28: energy=563825606656.0000, delta=15600406.000000, norm=181.0193
[LOG] Step 29: energy=583923073024.0000, delta=16156491.000000, norm=181.0193
[LOG] Step 30: energy=607662047232.0000, delta=16813262.000000, norm=181.0193
[LOG] Step 31: energy=525895630848.0000, delta=14550984.000000, norm=181.0193
[LOG] Step 32: energy=512063569920.0000, delta=14168279.000000, norm=181.0193
[LOG] Step 33: energy=619405770752.0000, delta=17138330.000000, norm=181.0193
[LOG] Step 34: energy=605535731712.0000, delta=16754500.000000, norm=181.0193
[LOG] Step 35: energy=641662320640.0000, delta=17754096.000000, norm=181.0193
[LOG] Step 36: energy=548928946176.0000, delta=15188252.000000, norm=181.0193
[LOG] Step 37: energy=606166319104.0000, delta=16771945.000000, norm=181.0193
[LOG] Step 38: energy=394420224000.0000, delta=10913189.000000, norm=181.0193
[LOG] Step 39: energy=563326222336.0000, delta=15586610.000000, norm=181.0193
[LOG] Step 40: energy=655406727168.0000, delta=18134326.000000, norm=181.0193
[LOG] Step 41: energy=749476904960.0000, delta=20737152.000000, norm=181.0193
[LOG] Step 42: energy=634148880384.0000, delta=17546080.000000, norm=181.0193
[LOG] Step 43: energy=749837156352.0000, delta=20747120.000000, norm=181.0193
[LOG] Step 44: energy=593372512256.0000, delta=16418128.000000, norm=181.0193
[LOG] Step 45: energy=511292375040.0000, delta=14146929.000000, norm=181.0193
[LOG] Step 46: energy=786609012736.0000, delta=21764564.000000, norm=181.0193
[LOG] Step 47: energy=759843651584.0000, delta=21023960.000000, norm=181.0193
[LOG] Step 48: energy=509749690368.0000, delta=14104322.000000, norm=181.0193
[LOG] Step 49: energy=450343960576.0000, delta=12460596.000000, norm=181.0193
[LOG] Step 50: energy=738584428544.0000, delta=20435754.000000, norm=181.0193
[LOG] Step 51: energy=1020541206528.0000, delta=28237124.000000, norm=181.0193
[LOG] Step 52: energy=678161940480.0000, delta=18763992.000000, norm=181.0193
[LOG] Step 53: energy=745586360320.0000, delta=20629620.000000, norm=181.0193
[LOG] Step 54: energy=661013790720.0000, delta=18289584.000000, norm=181.0193
[LOG] Step 55: energy=573720100864.0000, delta=15874304.000000, norm=181.0193
[LOG] Step 56: energy=697157943296.0000, delta=19289560.000000, norm=181.0193
[LOG] Step 57: energy=800551600128.0000, delta=22150468.000000, norm=181.0193
[LOG] Step 58: energy=763555479552.0000, delta=21126682.000000, norm=181.0193
[LOG] Step 59: energy=456489500672.0000, delta=12630665.000000, norm=181.0193
[LOG] Step 60: energy=663270850560.0000, delta=18352236.000000, norm=181.0193
[LOG] Step 61: energy=598809444352.0000, delta=16568515.000000, norm=181.0193
[LOG] Step 62: energy=524963381248.0000, delta=14525311.000000, norm=181.0193
[LOG] Step 63: energy=579773923328.0000, delta=16041898.000000, norm=181.0193
[LOG] Step 64: energy=657282367488.0000, delta=18186370.000000, norm=181.0193
[LOG] Step 65: energy=884917927936.0000, delta=24484704.000000, norm=181.0193
[LOG] Step 66: energy=762031898624.0000, delta=21084512.000000, norm=181.0193
[LOG] Step 67: energy=782770241536.0000, delta=21658264.000000, norm=181.0193
[LOG] Step 68: energy=679255408640.0000, delta=18794132.000000, norm=181.0193
[LOG] Step 69: energy=845895892992.0000, delta=23404802.000000, norm=181.0193
[LOG] Step 70: energy=736743915520.0000, delta=20384776.000000, norm=181.0193
[LOG] Step 71: energy=741057232896.0000, delta=20504120.000000, norm=181.0193
[LOG] Step 72: energy=765511729152.0000, delta=21180740.000000, norm=181.0193
[LOG] Step 73: energy=584651112448.0000, delta=16176524.000000, norm=181.0193
[LOG] Step 74: energy=717086064640.0000, delta=19840838.000000, norm=181.0193
[LOG] Step 75: energy=632090656768.0000, delta=17489334.000000, norm=181.0193
[LOG] Step 76: energy=662361473024.0000, delta=18326782.000000, norm=181.0193
[LOG] Step 77: energy=898068774912.0000, delta=24848474.000000, norm=181.0193
[LOG] Step 78: energy=726051717120.0000, delta=20089088.000000, norm=181.0193
[LOG] Step 79: energy=757356953600.0000, delta=20955192.000000, norm=181.0193
[LOG] Step 80: energy=696569757696.0000, delta=19273232.000000, norm=181.0193
[LOG] Step 81: energy=755401228288.0000, delta=20901020.000000, norm=181.0193
[LOG] Step 82: energy=619394629632.0000, delta=17137944.000000, norm=181.0193
[LOG] Step 83: energy=573084270592.0000, delta=15856571.000000, norm=181.0193
[LOG] Step 84: energy=698600128512.0000, delta=19329464.000000, norm=181.0193
[LOG] Step 85: energy=606446026752.0000, delta=16779656.000000, norm=181.0193
[LOG] Step 86: energy=648040808448.0000, delta=17930460.000000, norm=181.0193
[LOG] Step 87: energy=908450856960.0000, delta=25135834.000000, norm=181.0193
[LOG] Step 88: energy=700282699776.0000, delta=19375992.000000, norm=181.0193
[LOG] Step 89: energy=733453680640.0000, delta=20293880.000000, norm=181.0193
[LOG] Step 90: energy=620378521600.0000, delta=17165172.000000, norm=181.0193
[LOG] Step 91: energy=673534443520.0000, delta=18635994.000000, norm=181.0193
[LOG] Step 92: energy=809101819904.0000, delta=22386926.000000, norm=181.0193
[LOG] Step 93: energy=656372400128.0000, delta=18161076.000000, norm=181.0193
[LOG] Step 94: energy=972433522688.0000, delta=26906020.000000, norm=181.0193
[LOG] Step 95: energy=833036746752.0000, delta=23049160.000000, norm=181.0193
[LOG] Step 96: energy=673183039488.0000, delta=18626212.000000, norm=181.0193
[LOG] Step 97: energy=597061795840.0000, delta=16519967.000000, norm=181.0193
[LOG] Step 98: energy=1069442465792.0000, delta=29590284.000000, norm=181.0193
[LOG] Step 99: energy=650517020672.0000, delta=17999118.000000, norm=181.0193
[LOG] Step 100: energy=776388345856.0000, delta=21481840.000000, norm=181.0193
[LOG] Step 101: energy=913837654016.0000, delta=25284848.000000, norm=181.0193
[LOG] Step 102: energy=579988357120.0000, delta=16047654.000000, norm=181.0193
[LOG] Step 103: energy=680996896768.0000, delta=18842512.000000, norm=181.0193
[LOG] Step 104: energy=748003459072.0000, delta=20696476.000000, norm=181.0193
[LOG] Step 105: energy=578197127168.0000, delta=15998074.000000, norm=181.0193
[LOG] Step 106: energy=1169141006336.0000, delta=32348760.000000, norm=181.0193
[LOG] Step 107: energy=975836086272.0000, delta=27000134.000000, norm=181.0193
[LOG] Step 108: energy=747273715712.0000, delta=20676186.000000, norm=181.0193
[LOG] Step 109: energy=927438798848.0000, delta=25661140.000000, norm=181.0193
