(.venv) ➜  v2_imagenet_kmeans git:(main) ✗ python imagenet_hebbian_deep_encode.py                                                                                                                                                                 <aws:kenny> <region:us-west-2>
[LOG] Step 0: energy=0.1461, delta=0.000164, norm=154.1754
[LOG] Step 1: energy=0.1490, delta=0.000170, norm=154.1895
[LOG] Step 2: energy=0.1483, delta=0.000165, norm=154.2031
[LOG] Step 3: energy=0.1504, delta=0.000165, norm=154.2162
[LOG] Step 4: energy=0.1467, delta=0.000164, norm=154.2298
[LOG] Step 5: energy=0.1468, delta=0.000169, norm=154.2436
[LOG] Step 6: energy=0.1437, delta=0.000166, norm=154.2569
[LOG] Step 7: energy=0.1503, delta=0.000168, norm=154.2714
[LOG] Step 8: energy=0.1496, delta=0.000169, norm=154.2846
[LOG] Step 9: energy=0.1454, delta=0.000162, norm=154.2976
[LOG] Step 10: energy=0.1452, delta=0.000163, norm=154.3104
[LOG] Step 11: energy=0.1455, delta=0.000164, norm=154.3244
[LOG] Step 12: energy=0.1487, delta=0.000167, norm=154.3372
[LOG] Step 13: energy=0.1475, delta=0.000165, norm=154.3504
[LOG] Step 14: energy=0.1477, delta=0.000167, norm=154.3655
[LOG] Step 15: energy=0.1498, delta=0.000169, norm=154.3783
[LOG] Step 16: energy=0.1475, delta=0.000170, norm=154.3927
[LOG] Step 17: energy=0.1464, delta=0.000169, norm=154.4063
[LOG] Step 18: energy=0.1472, delta=0.000164, norm=154.4193
[LOG] Step 19: energy=0.1478, delta=0.000169, norm=154.4339
[LOG] Step 20: energy=0.1510, delta=0.000168, norm=154.4469
[LOG] Step 21: energy=0.1462, delta=0.000167, norm=154.4610
[LOG] Step 22: energy=0.1462, delta=0.000166, norm=154.4739
[LOG] Step 23: energy=0.1502, delta=0.000172, norm=154.4884
[LOG] Step 24: energy=0.1518, delta=0.000168, norm=154.5019
[LOG] Step 25: energy=0.1466, delta=0.000165, norm=154.5146
[LOG] Step 26: energy=0.1472, delta=0.000163, norm=154.5285
[LOG] Step 27: energy=0.1478, delta=0.000165, norm=154.5420
[LOG] Step 28: energy=0.1495, delta=0.000170, norm=154.5551
[LOG] Step 29: energy=0.1452, delta=0.000167, norm=154.5691
[LOG] Step 30: energy=0.1481, delta=0.000169, norm=154.5834
[LOG] Step 31: energy=0.1487, delta=0.000167, norm=154.5953
[LOG] Step 32: energy=0.1453, delta=0.000167, norm=154.6103
[LOG] Step 33: energy=0.1463, delta=0.000170, norm=154.6244
[LOG] Step 34: energy=0.1493, delta=0.000166, norm=154.6374
