(.venv) ➜  v2_pokemon_kmeans git:(main) ✗ python pokemon_hebbian_deep_encode.py                                                                                                                                                                   <aws:kenny> <region:us-west-2>
[LOG] Step 0: energy=0.3304, delta=0.000156, norm=122.4064                      <aws:kenny> <region:us-west-2>
[LOG] Step 1: energy=0.3304, delta=0.000155, norm=122.4184
[LOG] Step 2: energy=0.3322, delta=0.000156, norm=122.4298
[LOG] Step 3: energy=0.3331, delta=0.000156, norm=122.4417
[LOG] Step 4: energy=0.3307, delta=0.000156, norm=122.4532
[LOG] Step 5: energy=0.3303, delta=0.000158, norm=122.4657
[LOG] Step 6: energy=0.3296, delta=0.000155, norm=122.4775
[LOG] Step 7: energy=0.3311, delta=0.000155, norm=122.4890
[LOG] Step 8: energy=0.3321, delta=0.000155, norm=122.5010
[LOG] Step 9: energy=0.3296, delta=0.000157, norm=122.5130
[LOG] Step 10: energy=0.3320, delta=0.000155, norm=122.5243
[LOG] Step 11: energy=0.3335, delta=0.000157, norm=122.5359
[LOG] Step 12: energy=0.3282, delta=0.000157, norm=122.5479
[LOG] Step 13: energy=0.3307, delta=0.000156, norm=122.5603
[LOG] Step 14: energy=0.3310, delta=0.000155, norm=122.5717
[LOG] Step 15: energy=0.3301, delta=0.000156, norm=122.5833
[LOG] Step 16: energy=0.3307, delta=0.000157, norm=122.5945
[LOG] Step 17: energy=0.3317, delta=0.000155, norm=122.6056
[LOG] Step 18: energy=0.3286, delta=0.000156, norm=122.6171
[LOG] Step 19: energy=0.3300, delta=0.000156, norm=122.6284
[LOG] Step 20: energy=0.3290, delta=0.000155, norm=122.6401
[LOG] Step 21: energy=0.3299, delta=0.000155, norm=122.6512
[LOG] Step 22: energy=0.3283, delta=0.000156, norm=122.6627
[LOG] Step 23: energy=0.3301, delta=0.000156, norm=122.6740
[LOG] Step 24: energy=0.3299, delta=0.000156, norm=122.6859
[LOG] Step 25: energy=0.3323, delta=0.000155, norm=122.6965
[LOG] Step 26: energy=0.3296, delta=0.000156, norm=122.7080
[LOG] Step 27: energy=0.3274, delta=0.000156, norm=122.7202
[LOG] Step 28: energy=0.3318, delta=0.000155, norm=122.7309
[LOG] Step 29: energy=0.3285, delta=0.000156, norm=122.7430
[LOG] Step 30: energy=0.3320, delta=0.000155, norm=122.7540
[LOG] Step 31: energy=0.3263, delta=0.000155, norm=122.7653
[LOG] Step 32: energy=0.3306, delta=0.000154, norm=122.7764
[LOG] Step 33: energy=0.3293, delta=0.000155, norm=122.7878
[LOG] Step 34: energy=0.3301, delta=0.000154, norm=122.7991
[LOG] Step 35: energy=0.3290, delta=0.000154, norm=122.8098
[LOG] Step 36: energy=0.3304, delta=0.000155, norm=122.8218
[LOG] Step 37: energy=0.3310, delta=0.000156, norm=122.8329
[LOG] Step 38: energy=0.3308, delta=0.000154, norm=122.8440
[LOG] Step 39: energy=0.3298, delta=0.000155, norm=122.8556
[LOG] Step 40: energy=0.3304, delta=0.000157, norm=122.8671
[LOG] Step 41: energy=0.3312, delta=0.000155, norm=122.8784
